time;V(/vin);V(/vout);
0.100136;4.52067;0.425013;
0.100136;4.5281;0.433204;
0.100136;4.53551;0.441393;
0.100137;4.54291;0.44958;
0.100137;4.55029;0.457766;
0.100137;4.55765;0.465951;
0.100138;4.565;0.474133;
0.100138;4.57233;0.482314;
0.100138;4.57965;0.490493;
0.100139;4.58695;0.498671;
0.100139;4.59423;0.506846;
0.100139;4.60149;0.51502;
0.100139;4.60874;0.523192;
0.10014;4.61598;0.531362;
0.10014;4.62319;0.539531;
0.10014;4.6304;0.547697;
0.100141;4.63758;0.555861;
0.100141;4.64475;0.564024;
0.100141;4.6519;0.572184;
0.100142;4.65903;0.580343;
0.100142;4.66615;0.588499;
0.100142;4.67325;0.596653;
0.100142;4.68034;0.604805;
0.100143;4.68741;0.612955;
0.100143;4.69446;0.621103;
0.100143;4.70149;0.629249;
0.100144;4.70851;0.637392;
0.100144;4.71551;0.645533;
0.100144;4.7225;0.653672;
0.100145;4.72946;0.661808;
0.100145;4.73642;0.669943;
0.100145;4.74335;0.678074;
0.100145;4.75027;0.686204;
0.100146;4.75717;0.694331;
0.100146;4.76405;0.702455;
0.100146;4.77092;0.710577;
0.100147;4.77777;0.718696;
0.100147;4.7846;0.726813;
0.100147;4.79142;0.734927;
0.100148;4.79822;0.743039;
0.100148;4.805;0.751148;
0.100148;4.81176;0.759255;
0.100148;4.81851;0.767358;
0.100149;4.82524;0.775459;
0.100149;4.83195;0.783557;
0.100149;4.83865;0.791653;
0.10015;4.84533;0.799745;
0.10015;4.85199;0.807835;
0.10015;4.85864;0.815922;
0.100151;4.86526;0.824006;
0.100151;4.87187;0.832087;
0.100151;4.87847;0.840165;
0.100151;4.88504;0.84824;
0.100152;4.8916;0.856312;
0.100152;4.89814;0.864381;
0.100152;4.90466;0.872447;
0.100153;4.91117;0.88051;
0.100153;4.91766;0.88857;
0.100153;4.92413;0.896626;
0.100154;4.93058;0.90468;
0.100154;4.93702;0.91273;
0.100154;4.94344;0.920777;
0.100154;4.94984;0.928821;
0.100155;4.95622;0.936861;
0.100155;4.96258;0.944898;
0.100155;4.96893;0.952932;
0.100156;4.97526;0.960962;
0.100156;4.98158;0.968989;
