time;V(/vout);
0.0496699;2.26885;
0.0497419;2.33007;
0.0498139;2.38913;
0.0498859;2.44609;
0.0499579;2.50104;
0.0500299;2.55405;
0.0501019;2.60519;
0.0501739;2.65451;
0.0502459;2.70209;
0.0503179;2.74799;
0.0503899;2.79227;
0.0504619;2.83498;
0.0505339;2.87618;
0.0506059;2.91592;
0.0506779;2.95425;
0.0507499;2.99124;
0.0508219;3.02691;
0.0508939;3.06132;
0.0509659;3.09452;
0.0510379;3.12654;
0.0511099;3.15743;
0.0511819;3.18722;
0.0512539;3.21596;
0.0513259;3.24369;
0.0513979;3.27044;
0.0514699;3.29624;
0.0515419;3.32112;
0.0516139;3.34513;
0.0516859;3.36829;
0.0517579;3.39063;
0.0518299;3.41218;
0.0519019;3.43297;
0.0519739;3.45302;
0.0520459;3.47236;
0.0521179;3.49102;
0.0521899;3.50902;
0.0522619;3.52638;
0.0523339;3.54313;
0.0524059;3.55929;
0.0524779;3.57487;
0.0525499;3.58991;
0.0526219;3.60441;
0.0526939;3.6184;
0.0527659;3.63189;
0.0528379;3.64491;
0.0529099;3.65747;
0.0529819;3.66958;
0.0530539;3.68127;
0.0531259;3.69254;
0.0531979;3.70341;
0.0532699;3.7139;
0.0533419;3.72402;
0.0534139;3.73378;
0.0534859;3.74319;
0.0535579;3.75227;
0.0536299;3.76103;
0.0537019;3.76948;
0.0537739;3.77764;
0.0538459;3.7855;
0.0539179;3.79308;
0.0539899;3.8004;
0.0540619;3.80746;
0.0541339;3.81427;
0.0542059;3.82084;
0.0542779;3.82717;
0.0543499;3.83328;
0.0544219;3.83918;
0.0544939;3.84487;
0.0545659;3.85035;
0.0546379;3.85565;
0.0547099;3.86075;
0.0547819;3.86567;
0.0548539;3.87043;
0.0549259;3.87501;
0.0549979;3.87943;
0.0550699;3.88369;
0.0551419;3.8878;
0.0552139;3.89177;
0.0552859;3.8956;
0.0553579;3.89929;
0.0554299;3.90285;
0.0555019;3.90629;
0.0555739;3.9096;
0.0556459;3.9128;
0.0557179;3.91588;
0.0557899;3.91886;
0.0558619;3.92173;
0.0559339;3.92449;
0.0560059;3.92716;
0.0560779;3.92974;
0.0561499;3.93223;
0.0562219;3.93462;
0.0562939;3.93693;
0.0563659;3.93916;
0.0564379;3.94132;
0.0565099;3.94339;
0.0565819;3.94539;
0.0566539;3.94732;
0.0567259;3.94919;
0.0567979;3.95098;
0.0568699;3.95272;
0.0569419;3.95439;
0.0570139;3.956;
0.0570859;3.95756;
0.0571579;3.95906;
0.0572299;3.96051;
0.0573019;3.9619;
0.0573739;3.96325;
0.0574459;3.96455;
0.0575179;3.9658;
0.0575899;3.96701;
0.0576619;3.96818;
0.0577339;3.9693;
0.0578059;3.97039;
0.0578779;3.97144;
0.0579499;3.97245;
0.0580219;3.97342;
0.0580939;3.97436;
0.0581659;3.97527;
0.0582379;3.97614;
0.0583099;3.97699;
0.0583819;3.9778;
0.0584539;3.97859;
0.0585259;3.97934;
0.0585979;3.98007;
0.0586699;3.98078;
0.0587419;3.98146;
0.0588139;3.98211;
0.0588859;3.98275;
0.0589579;3.98336;
0.0590299;3.98394;
0.0591019;3.98451;
0.0591739;3.98506;
0.0592459;3.98559;
0.0593179;3.9861;
0.0593899;3.98659;
0.0594619;3.98706;
0.0595339;3.98752;
0.0596059;3.98796;
0.0596779;3.98839;
0.0597499;3.9888;
0.0598219;3.9892;
0.0598939;3.98958;
0.0599659;3.98995;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99012;
0.06;3.99011;
0.06;3.99011;
0.06;3.99011;
0.06;3.99011;
0.06;3.99009;
0.06;3.99007;
0.06;3.99003;
0.0600001;3.98995;
0.0600002;3.98978;
0.0600003;3.98945;
0.0600007;3.98878;
0.0600013;3.98744;
0.0600027;3.98476;
0.0600054;3.97942;
0.0600107;3.96875;
0.0600215;3.9475;
0.0600429;3.90534;
0.0600859;3.82237;
0.0601579;3.68719;
0.0602299;3.5568;
0.0603019;3.43102;
0.0603739;3.30969;
0.0604459;3.19265;
0.0605179;3.07974;
0.0605899;2.97083;
0.0606619;2.86577;
0.0607339;2.76443;
0.0608059;2.66667;
0.0608779;2.57237;
0.0609499;2.4814;
0.0610219;2.39365;
0.0610939;2.309;
0.0611659;2.22735;
0.0612379;2.14858;
0.0613099;2.0726;
0.0613819;1.99931;
0.0614539;1.9286;
0.0615259;1.8604;
0.0615979;1.79461;
0.0616699;1.73115;
0.0617419;1.66993;
0.0618139;1.61087;
0.0618859;1.55391;
0.0619579;1.49896;
0.0620299;1.44595;
0.0621019;1.39481;
0.0621739;1.34549;
0.0622459;1.29791;
0.0623179;1.25201;
0.0623899;1.20773;
0.0624619;1.16502;
0.0625339;1.12382;
0.0626059;1.08408;
0.0626779;1.04575;
0.0627499;1.00876;
0.0628219;0.973091;
0.0628939;0.938679;
0.0629659;0.905484;
0.0630379;0.873463;
0.0631099;0.842574;
0.0631819;0.812778;
0.0632539;0.784035;
