v-sweep;V(/vin);V(/vout);
-2.24;-2.24;-5.3167e-05;
-2.23;-2.23;-5.31669e-05;
-2.22;-2.22;-5.31669e-05;
-2.21;-2.21;-5.31669e-05;
-2.2;-2.2;-5.31669e-05;
-2.19;-2.19;-5.31668e-05;
-2.18;-2.18;-5.31668e-05;
-2.17;-2.17;-5.31668e-05;
-2.16;-2.16;-5.31668e-05;
-2.15;-2.15;-5.31668e-05;
-2.14;-2.14;-5.31667e-05;
-2.13;-2.13;-5.31667e-05;
-2.12;-2.12;-5.31667e-05;
-2.11;-2.11;-5.31667e-05;
-2.1;-2.1;-5.31666e-05;
-2.09;-2.09;-5.31666e-05;
-2.08;-2.08;-5.31666e-05;
-2.07;-2.07;-5.31666e-05;
-2.06;-2.06;-5.31665e-05;
-2.05;-2.05;-5.31665e-05;
-2.04;-2.04;-5.31665e-05;
-2.03;-2.03;-5.31664e-05;
-2.02;-2.02;-5.31664e-05;
-2.01;-2.01;-5.31664e-05;
-2;-2;-5.31664e-05;
-1.99;-1.99;-5.31663e-05;
-1.98;-1.98;-5.31663e-05;
-1.97;-1.97;-5.31663e-05;
-1.96;-1.96;-5.31662e-05;
-1.95;-1.95;-5.31662e-05;
-1.94;-1.94;-5.31662e-05;
-1.93;-1.93;-5.31662e-05;
-1.92;-1.92;-5.31661e-05;
-1.91;-1.91;-5.31661e-05;
-1.9;-1.9;-5.31661e-05;
-1.89;-1.89;-5.3166e-05;
-1.88;-1.88;-5.3166e-05;
-1.87;-1.87;-5.3166e-05;
-1.86;-1.86;-5.31659e-05;
-1.85;-1.85;-5.31659e-05;
-1.84;-1.84;-5.31659e-05;
-1.83;-1.83;-5.31658e-05;
-1.82;-1.82;-5.31658e-05;
-1.81;-1.81;-5.31657e-05;
-1.8;-1.8;-5.31657e-05;
-1.79;-1.79;-5.31657e-05;
-1.78;-1.78;-5.31656e-05;
-1.77;-1.77;-5.31656e-05;
-1.76;-1.76;-5.31655e-05;
-1.75;-1.75;-5.31655e-05;
-1.74;-1.74;-5.31655e-05;
-1.73;-1.73;-5.31654e-05;
-1.72;-1.72;-5.31654e-05;
-1.71;-1.71;-5.31653e-05;
-1.7;-1.7;-5.31653e-05;
-1.69;-1.69;-5.31652e-05;
-1.68;-1.68;-5.31652e-05;
-1.67;-1.67;-5.31651e-05;
-1.66;-1.66;-5.31651e-05;
-1.65;-1.65;-5.3165e-05;
-1.64;-1.64;-5.3165e-05;
-1.63;-1.63;-5.31649e-05;
-1.62;-1.62;-5.31649e-05;
-1.61;-1.61;-5.31648e-05;
-1.6;-1.6;-5.31648e-05;
-1.59;-1.59;-5.31647e-05;
-1.58;-1.58;-5.31647e-05;
-1.57;-1.57;-5.31646e-05;
-1.56;-1.56;-5.31646e-05;
-1.55;-1.55;-5.31645e-05;
-1.54;-1.54;-5.31644e-05;
-1.53;-1.53;-5.31644e-05;
-1.52;-1.52;-5.31643e-05;
-1.51;-1.51;-5.31642e-05;
-1.5;-1.5;-5.31642e-05;
-1.49;-1.49;-5.31641e-05;
-1.48;-1.48;-5.3164e-05;
-1.47;-1.47;-5.3164e-05;
-1.46;-1.46;-5.31639e-05;
-1.45;-1.45;-5.31638e-05;
-1.44;-1.44;-5.31637e-05;
-1.43;-1.43;-5.31636e-05;
-1.42;-1.42;-5.31636e-05;
-1.41;-1.41;-5.31635e-05;
-1.4;-1.4;-5.31634e-05;
-1.39;-1.39;-5.31633e-05;
-1.38;-1.38;-5.31632e-05;
-1.37;-1.37;-5.31631e-05;
-1.36;-1.36;-5.3163e-05;
-1.35;-1.35;-5.31629e-05;
-1.34;-1.34;-5.31628e-05;
-1.33;-1.33;-5.31627e-05;
-1.32;-1.32;-5.31626e-05;
-1.31;-1.31;-5.31625e-05;
-1.3;-1.3;-5.31624e-05;
-1.29;-1.29;-5.31623e-05;
-1.28;-1.28;-5.31622e-05;
-1.27;-1.27;-5.3162e-05;
-1.26;-1.26;-5.31619e-05;
-1.25;-1.25;-5.31618e-05;
-1.24;-1.24;-5.31617e-05;
-1.23;-1.23;-5.31615e-05;
-1.22;-1.22;-5.31614e-05;
-1.21;-1.21;-5.31612e-05;
-1.2;-1.2;-5.31611e-05;
-1.19;-1.19;-5.31609e-05;
-1.18;-1.18;-5.31608e-05;
-1.17;-1.17;-5.31606e-05;
-1.16;-1.16;-5.31604e-05;
-1.15;-1.15;-5.31602e-05;
-1.14;-1.14;-5.31601e-05;
-1.13;-1.13;-5.31599e-05;
-1.12;-1.12;-5.31597e-05;
-1.11;-1.11;-5.31595e-05;
-1.1;-1.1;-5.31593e-05;
-1.09;-1.09;-5.3159e-05;
-1.08;-1.08;-5.31588e-05;
-1.07;-1.07;-5.31586e-05;
-1.06;-1.06;-5.31584e-05;
-1.05;-1.05;-5.31581e-05;
-1.04;-1.04;-5.31578e-05;
-1.03;-1.03;-5.31576e-05;
-1.02;-1.02;-5.31573e-05;
-1.01;-1.01;-5.3157e-05;
-1;-1;-5.31567e-05;
-0.99;-0.99;-5.31564e-05;
-0.98;-0.98;-5.31561e-05;
-0.97;-0.97;-5.31557e-05;
-0.96;-0.96;-5.31554e-05;
-0.95;-0.95;-5.3155e-05;
-0.94;-0.94;-5.31546e-05;
-0.93;-0.93;-5.31542e-05;
-0.92;-0.92;-5.31538e-05;
-0.91;-0.91;-5.31534e-05;
-0.9;-0.9;-5.31529e-05;
-0.89;-0.89;-5.31525e-05;
-0.88;-0.88;-5.3152e-05;
-0.87;-0.87;-5.31514e-05;
-0.86;-0.86;-5.31509e-05;
-0.85;-0.85;-5.31503e-05;
-0.84;-0.84;-5.31497e-05;
-0.83;-0.83;-5.31491e-05;
-0.82;-0.82;-5.31485e-05;
-0.81;-0.81;-5.31478e-05;
-0.8;-0.8;-5.31471e-05;
-0.79;-0.79;-5.31463e-05;
-0.78;-0.78;-5.31455e-05;
-0.77;-0.77;-5.31447e-05;
-0.76;-0.76;-5.31438e-05;
-0.75;-0.75;-5.31429e-05;
-0.74;-0.74;-5.31419e-05;
-0.73;-0.73;-5.31409e-05;
-0.72;-0.72;-5.31398e-05;
-0.71;-0.71;-5.31387e-05;
-0.7;-0.7;-5.31375e-05;
-0.69;-0.69;-5.31362e-05;
-0.68;-0.68;-5.31348e-05;
-0.67;-0.67;-5.31334e-05;
-0.66;-0.66;-5.31318e-05;
-0.65;-0.65;-5.31302e-05;
-0.64;-0.64;-5.31285e-05;
