time;V(/vd);V(/vrsh);
0.101188;1.25719;0.553518;
0.101191;1.25858;0.554761;
0.101194;1.25997;0.556002;
0.101197;1.26136;0.55724;
0.1012;1.26274;0.558477;
0.101203;1.26412;0.559711;
0.101206;1.2655;0.560943;
0.101209;1.26688;0.562173;
0.101212;1.26825;0.563401;
0.101215;1.26962;0.564627;
0.101218;1.27099;0.56585;
0.101221;1.27236;0.567071;
0.101224;1.27372;0.56829;
0.101227;1.27508;0.569507;
0.10123;1.27644;0.570722;
0.101233;1.2778;0.571934;
0.101236;1.27915;0.573144;
0.101239;1.2805;0.574352;
0.101242;1.28185;0.575558;
0.101245;1.28319;0.576761;
0.101248;1.28453;0.577962;
0.101251;1.28587;0.579161;
0.101254;1.28721;0.580358;
0.101257;1.28854;0.581553;
0.10126;1.28987;0.582745;
0.101263;1.2912;0.583935;
0.101266;1.29253;0.585122;
0.101269;1.29385;0.586308;
0.101272;1.29517;0.587491;
0.101275;1.29649;0.588672;
0.101278;1.29781;0.58985;
0.101281;1.29912;0.591027;
0.101284;1.30043;0.592201;
0.101287;1.30173;0.593373;
0.10129;1.30304;0.594542;
0.101293;1.30434;0.595709;
0.101296;1.30564;0.596874;
0.101299;1.30694;0.598036;
0.101302;1.30823;0.599197;
0.101305;1.30952;0.600354;
0.101308;1.31081;0.60151;
0.101311;1.31209;0.602663;
0.101314;1.31337;0.603814;
0.101317;1.31465;0.604963;
0.10132;1.31593;0.606109;
0.101323;1.31721;0.607253;
0.101326;1.31848;0.608394;
0.101329;1.31975;0.609533;
0.101332;1.32101;0.61067;
0.101335;1.32228;0.611805;
0.101338;1.32354;0.612937;
0.101341;1.32479;0.614066;
0.101344;1.32605;0.615194;
0.101347;1.3273;0.616319;
0.10135;1.32855;0.617441;
0.101353;1.3298;0.618561;
0.101356;1.33104;0.619679;
0.101359;1.33228;0.620794;
0.101362;1.33352;0.621907;
0.101365;1.33475;0.623018;
0.101368;1.33599;0.624126;
0.101371;1.33722;0.625232;
0.101374;1.33844;0.626335;
0.101377;1.33967;0.627436;
