x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 6.06142230e-03  6.06142230e-03  6.06142230e-03  4.53328817e+00  6.06142230e-03  5.30632832e+00 
 6.12542230e-03  6.12542230e-03  6.12542230e-03  4.43714364e+00  6.12542230e-03  5.29967317e+00 
 6.18942230e-03  6.18942230e-03  6.18942230e-03  4.33841623e+00  6.18942230e-03  5.29302637e+00 
 6.25342230e-03  6.25342230e-03  6.25342230e-03  4.23716341e+00  6.25342230e-03  5.28638791e+00 
 6.31742230e-03  6.31742230e-03  6.31742230e-03  4.13344411e+00  6.31742230e-03  5.27975777e+00 
 6.38142230e-03  6.38142230e-03  6.38142230e-03  4.02731872e+00  6.38142230e-03  5.27313594e+00 
 6.44542230e-03  6.44542230e-03  6.44542230e-03  3.91884900e+00  6.44542230e-03  5.26652242e+00 
 6.50942230e-03  6.50942230e-03  6.50942230e-03  3.80809810e+00  6.50942230e-03  5.25991720e+00 
 6.57342230e-03  6.57342230e-03  6.57342230e-03  3.69513049e+00  6.57342230e-03  5.25332026e+00 
 6.63742230e-03  6.63742230e-03  6.63742230e-03  3.58001193e+00  6.63742230e-03  5.24673159e+00 
 6.70142230e-03  6.70142230e-03  6.70142230e-03  3.46280943e+00  6.70142230e-03  5.24015119e+00 
 6.76542230e-03  6.76542230e-03  6.76542230e-03  3.34359121e+00  6.76542230e-03  5.23357903e+00 
 6.82942230e-03  6.82942230e-03  6.82942230e-03  3.22242667e+00  6.82942230e-03  5.22701512e+00 
 6.89342230e-03  6.89342230e-03  6.89342230e-03  3.09938634e+00  6.89342230e-03  5.22045945e+00 
 6.95742230e-03  6.95742230e-03  6.95742230e-03  2.97454184e+00  6.95742230e-03  5.21391199e+00 
 7.02142230e-03  7.02142230e-03  7.02142230e-03  2.84796585e+00  7.02142230e-03  5.20737275e+00 
 7.08542230e-03  7.08542230e-03  7.08542230e-03  2.71973204e+00  7.08542230e-03  5.20084171e+00 
 7.14942230e-03  7.14942230e-03  7.14942230e-03  2.58991506e+00  7.14942230e-03  5.19431886e+00 
 7.21342230e-03  7.21342230e-03  7.21342230e-03  2.45859048e+00  7.21342230e-03  5.18780419e+00 
 7.27742230e-03  7.27742230e-03  7.27742230e-03  2.32583475e+00  7.27742230e-03  5.18129769e+00 
 7.34142230e-03  7.34142230e-03  7.34142230e-03  2.19172514e+00  7.34142230e-03  5.17479935e+00 
 7.40542230e-03  7.40542230e-03  7.40542230e-03  2.05633971e+00  7.40542230e-03  5.16830916e+00 
 7.46942230e-03  7.46942230e-03  7.46942230e-03  1.91975727e+00  7.46942230e-03  5.16182711e+00 
 7.53342230e-03  7.53342230e-03  7.53342230e-03  1.78205734e+00  7.53342230e-03  5.15535319e+00 
 7.59742230e-03  7.59742230e-03  7.59742230e-03  1.64332006e+00  7.59742230e-03  5.14888739e+00 
 7.66142230e-03  7.66142230e-03  7.66142230e-03  1.50362620e+00  7.66142230e-03  5.14242969e+00 
 7.72542230e-03  7.72542230e-03  7.72542230e-03  1.36305707e+00  7.72542230e-03  5.13598010e+00 
 7.78942230e-03  7.78942230e-03  7.78942230e-03  1.22169450e+00  7.78942230e-03  5.12953860e+00 
 7.85342230e-03  7.85342230e-03  7.85342230e-03  1.07962078e+00  7.85342230e-03  5.12310518e+00 
 7.91742230e-03  7.91742230e-03  7.91742230e-03  9.36918601e-01  7.91742230e-03  5.11667982e+00 
 7.98142230e-03  7.98142230e-03  7.98142230e-03  7.93671039e-01  7.98142230e-03  5.11026252e+00 
 8.04542230e-03  8.04542230e-03  8.04542230e-03  6.49961477e-01  8.04542230e-03  5.10385327e+00 
 8.10942230e-03  8.10942230e-03  8.10942230e-03  5.05873570e-01  8.10942230e-03  5.09745207e+00 
 8.17342230e-03  8.17342230e-03  8.17342230e-03  3.61491191e-01  8.17342230e-03  5.09105888e+00 
 8.23742230e-03  8.23742230e-03  8.23742230e-03  2.16898386e-01  8.23742230e-03  5.08467372e+00 
 8.30142230e-03  8.30142230e-03  8.30142230e-03  7.21793242e-02  8.30142230e-03  5.07829657e+00 
 8.36542230e-03  8.36542230e-03  8.36542230e-03 -7.25817539e-02  8.36542230e-03  5.07192741e+00 
 8.42942230e-03  8.42942230e-03  8.42942230e-03 -2.17300582e-01  8.42942230e-03  5.06556624e+00 
 8.49342230e-03  8.49342230e-03  8.49342230e-03 -3.61892918e-01  8.49342230e-03  5.05921305e+00 
 8.55742230e-03  8.55742230e-03  8.55742230e-03 -5.06274595e-01  8.55742230e-03  5.05286783e+00 
 8.62142230e-03  8.62142230e-03  8.62142230e-03 -6.50361566e-01  8.62142230e-03  5.04653057e+00 
 8.68542230e-03  8.68542230e-03  8.68542230e-03 -7.94069960e-01  8.68542230e-03  5.04020125e+00 
 8.74942230e-03  8.74942230e-03  8.74942230e-03 -9.37316121e-01  8.74942230e-03  5.03387987e+00 
 8.81342230e-03  8.81342230e-03  8.81342230e-03 -1.08001667e+00  8.81342230e-03  5.02756643e+00 
 8.87742230e-03  8.87742230e-03  8.87742230e-03 -1.22208853e+00  8.87742230e-03  5.02126090e+00 
