,,,-1.9662059E-3,2.96000028,,,,,-1.9662059E-3,2.96000028,,,,,-1.9662059E-3,3.52000022,,,,,-1.9662059E-3,3.60000014,
,,,-1.9654378E-3,3.12000012,,,,,-1.9654378E-3,3.04000020,,,,,-1.9654378E-3,3.68000031,,,,,-1.9654378E-3,3.60000014,
,,,-1.9646699E-3,2.96000028,,,,,-1.9646699E-3,3.04000020,,,,,-1.9646699E-3,3.52000022,,,,,-1.9646699E-3,3.60000014,
,,,-1.9639018E-3,3.12000012,,,,,-1.9639018E-3,3.04000020,,,,,-1.9639018E-3,3.68000031,,,,,-1.9639018E-3,3.60000014,
,,,-1.9631337E-3,3.04000020,,,,,-1.9631337E-3,3.04000020,,,,,-1.9631337E-3,3.52000022,,,,,-1.9631337E-3,3.60000014,
,,,-1.9623656E-3,3.12000012,,,,,-1.9623656E-3,3.04000020,,,,,-1.9623656E-3,3.68000031,,,,,-1.9623656E-3,3.60000014,
,,,-1.9615977E-3,3.04000020,,,,,-1.9615977E-3,3.12000012,,,,,-1.9615977E-3,3.52000022,,,,,-1.9615977E-3,3.60000014,
,,,-1.9608296E-3,3.20000029,,,,,-1.9608296E-3,3.04000020,,,,,-1.9608296E-3,3.68000031,,,,,-1.9608296E-3,3.60000014,
,,,-1.9600615E-3,3.04000020,,,,,-1.9600615E-3,3.12000012,,,,,-1.9600615E-3,3.52000022,,,,,-1.9600615E-3,3.52000022,
,,,-1.9592934E-3,3.20000029,,,,,-1.9592934E-3,3.12000012,,,,,-1.9592934E-3,3.68000031,,,,,-1.9592934E-3,3.60000014,
,,,-1.9585255E-3,3.12000012,,,,,-1.9585255E-3,3.12000012,,,,,-1.9585255E-3,3.52000022,,,,,-1.9585255E-3,3.60000014,
,,,-1.9577574E-3,3.20000029,,,,,-1.9577574E-3,3.12000012,,,,,-1.9577574E-3,3.68000031,,,,,-1.9577574E-3,3.60000014,
,,,-1.9569893E-3,3.12000012,,,,,-1.9569893E-3,3.12000012,,,,,-1.9569893E-3,3.52000022,,,,,-1.9569893E-3,3.60000014,
,,,-1.9562212E-3,3.20000029,,,,,-1.9562212E-3,3.12000012,,,,,-1.9562212E-3,3.68000031,,,,,-1.9562212E-3,3.60000014,
,,,-1.9554533E-3,3.12000012,,,,,-1.9554533E-3,3.20000029,,,,,-1.9554533E-3,3.52000022,,,,,-1.9554533E-3,3.60000014,
,,,-1.9546852E-3,3.28000021,,,,,-1.9546852E-3,3.20000029,,,,,-1.9546852E-3,3.68000031,,,,,-1.9546852E-3,3.60000014,
,,,-1.9539171E-3,3.12000012,,,,,-1.9539171E-3,3.20000029,,,,,-1.9539171E-3,3.52000022,,,,,-1.9539171E-3,3.60000014,
,,,-1.9531490E-3,3.28000021,,,,,-1.9531490E-3,3.20000029,,,,,-1.9531490E-3,3.68000031,,,,,-1.9531490E-3,3.60000014,
,,,-1.9523810E-3,3.20000029,,,,,-1.9523810E-3,3.20000029,,,,,-1.9523810E-3,3.52000022,,,,,-1.9523810E-3,3.60000014,
,,,-1.9516130E-3,3.28000021,,,,,-1.9516130E-3,3.20000029,,,,,-1.9516130E-3,3.68000031,,,,,-1.9516130E-3,3.60000014,
,,,-1.9508449E-3,3.20000029,,,,,-1.9508449E-3,3.20000029,,,,,-1.9508449E-3,3.52000022,,,,,-1.9508449E-3,3.60000014,
,,,-1.9500769E-3,3.28000021,,,,,-1.9500769E-3,3.20000029,,,,,-1.9500769E-3,3.68000031,,,,,-1.9500769E-3,3.60000014,
